Name,School,ERA,W,L,G,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,BF,BAA,WP,HBP,BK
Sergio Ramirez,UC Riverside,3.05,3,6,21,0,0,0,0,38.33,32,16,13,25,27,5,1,2,138,0.232,9,7,0
Kyle Anderson,UC Riverside,8.29,0,3,20,2,0,0,2,33.66,48,35,31,21,28,11,2,4,142,0.338,7,3,0
Corbin Barker,UC Riverside,15.98,0,2,17,1,0,0,0,16.33,21,30,29,25,15,14,0,0,66,0.318,9,8,1
Cruz Barrios,UC Riverside,10.57,0,1,16,1,0,0,0,30.66,47,39,36,22,26,8,2,4,132,0.356,4,2,0
Jesse Bullard,UC Riverside,13.5,0,0,4,0,0,0,0,2,3,4,3,3,3,2,0,0,9,0.333,2,0,0
Zach Jacobs,UC Riverside,4.16,0,1,2,2,0,0,0,8.66,8,4,4,4,10,3,0,0,33,0.242,1,3,0
"Juline, Tuck",UC Riverside,7.49,2,7,19,9,0,0,0,57.66,76,54,48,25,29,15,6,8,236,0.322,4,6,0
Joey Magrisi,UC Riverside,10.85,0,5,19,4,0,0,1,40.66,67,52,49,26,30,15,5,8,182,0.368,7,2,0
Eric Marrujo,UC Riverside,8.52,2,7,16,10,1,0,0,56,74,54,53,28,30,22,3,7,228,0.325,2,13,0
Jeremiah Priddy,UC Riverside,5.23,0,3,16,9,0,0,0,53.33,62,42,31,26,42,21,0,5,214,0.29,11,8,0
"Roldan, Aj",UC Riverside,7.11,0,0,15,0,0,0,1,19,22,17,15,17,12,4,0,3,71,0.31,4,3,4
Caleb Turner,UC Riverside,9.8,1,2,22,2,0,0,0,41.33,61,46,45,16,28,20,1,6,174,0.351,9,5,1
